molecule_id,Filename,lifetime,SMILES
43,ps43.sdf,9.04159132,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(-c3c4ccccc4cc4ccccc34)c(C)n1[B-]2(F)F
44,ps44.sdf,0.853970965,CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(-c3ccc4cc5ccccc5cc4c3)c(C)n1[B-]2(F)F
45,ps45.sdf,17.69911504,CC1=CC(C)=[N+]2C1=C(c1ccc3c4cccc5cccc(c6cccc1c63)c54)c1c(C)cc(C)n1[B-]2(F)F
46,ps46.sdf,0.50530571,F[B-]1(F)n2cccc2C(c2ccc3c4cccc5cccc(c6cccc2c63)c54)=C2C=CC=[N+]21
47,ps47.sdf,1.018329939,CCCCN1c2ccccc2Oc2cc(C3=C4C(C)=CC(C)=[N+]4[B-](F)(F)n4c(C)cc(C)c43)ccc21
48,ps48.sdf,0.001747702,CCCCN1c2ccccc2Oc2cc(C3=C4C=CC=[N+]4[B-](F)(F)n4cccc43)ccc21
49,ps49.sdf,0.153562654,F[B-]1(F)n2cccc2C(c2ccc(N3c4ccccc4Oc4ccccc43)cc2)=C2C=CC=[N+]21
50,ps50.sdf,3.07408546,CC1=CC(C)=[N+]2C1=C(c1ccc(N3c4ccccc4Oc4ccccc43)cc1)c1c(C)cc(C)n1[B-]2(F)F
51,ps51.sdf,2.196836555,CCCCN1c2ccccc2Oc2cc(-c3cc4n(c3)[B-](F)(F)[N+]3=CC=CC3=C4c3ccccc3)ccc21
52,ps52.sdf,0.858369099,CCCCN1c2ccccc2Oc2cc(-c3c(C)c4n(c3C)[B-](F)(F)[N+]3=C(C)C=C(C)C3=C4c3ccccc3)ccc21
53,ps53.sdf,1.339046599,CCC1=C(C)C2=C(C3=C4C(C)=C(CC)C(C)=[N+]4[B-](F)(F)n4c(C)c(CC)c(C)c43)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C
54,ps54.sdf,0.175969592,CC1=CC(C)=[N+]2C1=C(C1=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c31)c1c(C)cc(C)n1[B-]2(F)F
55,ps55.sdf,0.045372051,CC1=CC(C)=[N+]2C1=C(c1c(C)c3n(c1C)[B-](F)(F)[N+]1=C(C)C=C(C)C1=C3C)c1c(C)cc(C)n1[B-]2(F)F
56,ps56.sdf,4.344048653,CC1=CC(C)=[N+]2C1=C(c1c(C)c3n(c1C)[B-](F)(F)[N+]1=C(C)C(C#Cc4ccccc4)=C(C)C1=C3C)c1c(C)cc(C)n1[B-]2(F)F
57,ps57.sdf,0.002117747,CCCCn1c2ccccc2c2cc(C#CC3=C(C)C4=C(C)c5c(C)c(C6=C7C(C)=CC(C)=[N+]7[B-](F)(F)n7c(C)cc(C)c76)c(C)n5[B-](F)(F)[N+]4=C3C)ccc21
